Timestamp,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5
18/12/2018 01:59:10,3,5,1,4,2
18/12/2018 04:42:24,3,3,2,5,2
18/12/2018 09:43:28,1,3,2,4,2
18/12/2018 10:08:22,1,3,1,1,2
18/12/2018 10:19:02,2,3,1,3,2
18/12/2018 10:21:10,2,4,3,5,2
18/12/2018 10:23:35,2,4,2,3,3
18/12/2018 10:23:56,3,4,2,3,2
18/12/2018 10:25:25,3,4,1,5,1
18/12/2018 10:25:58,2,4,3,5,3
18/12/2018 10:26:23,1,2,1,3,1
18/12/2018 10:27:03,2,3,1,4,2
18/12/2018 10:32:37,2,3,3,4,2
18/12/2018 10:32:39,2,3,1,3,2
18/12/2018 10:58:17,4,5,4,5,4
18/12/2018 12:05:37,1,2,4,3,4
18/12/2018 14:50:15,2,3,4,3,2
18/12/2018 19:48:26,2,3,1,3,1
18/12/2018 20:14:03,2,3,1,3,1
18/12/2018 21:47:20,2,4,2,3,3
18/12/2018 22:52:48,2,3,4,4,3